,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,male,0,UA,1567732426,95,50.74,33.7,58.09,4.27
1,hami,31,CN,1567732418,36,42.84,93.51,68.89,12.03
2,waipawa,100,NZ,1567732426,90,-39.94,176.59,48.0,3.0
3,jamestown,95,AU,1567732166,85,-33.21,138.6,49.09,21.65
4,qaanaaq,82,GL,1567732427,56,77.48,-69.36,29.83,6.49
5,marienburg,0,DE,1567732427,81,52.12,9.98,52.0,5.82
6,airai,93,TL,1567732427,48,-8.93,125.41,79.15,2.55
7,kavieng,34,PG,1567732154,78,-2.57,150.8,81.85,16.4
8,chuy,53,UY,1567732428,79,-33.69,-53.46,49.27,9.42
9,hobyo,71,SO,1567732428,83,5.35,48.53,76.09,20.74
10,port hedland,0,AU,1567732428,64,-20.31,118.58,75.2,4.7
11,albany,1,US,1567732429,82,42.65,-73.75,62.01,1.9
12,saskylakh,100,RU,1567732429,96,71.97,114.09,43.87,11.21
13,norman wells,75,CA,1567732429,67,65.28,-126.83,57.2,6.93
14,batagay-alyta,41,RU,1567732430,80,67.8,130.41,38.47,3.38
15,general roca,0,AR,1567732430,48,-39.03,-67.58,44.6,5.82
16,half moon bay,5,US,1567732430,56,37.46,-122.43,73.99,13.87
17,sijunjung,28,ID,1567732431,91,-0.69,100.95,68.17,1.21
18,bubaque,94,GW,1567732431,81,11.28,-15.83,80.77,9.01
19,castro,90,CL,1567732431,100,-42.48,-73.76,42.8,3.53
20,bluff,0,AU,1567732431,15,-23.58,149.07,78.61,6.29
21,mataura,88,NZ,1567732432,64,-46.19,168.86,48.99,11.01
22,beyneu,0,KZ,1567732432,40,45.32,55.19,59.71,7.38
23,vaini,75,IN,1567732432,100,15.34,74.49,69.8,16.11
24,yellowknife,75,CA,1567732432,71,62.45,-114.38,53.6,13.87
25,garissa,73,KE,1567732433,80,-0.46,39.64,72.13,12.26
26,sampit,87,ID,1567732433,89,-2.54,112.95,74.47,1.16
27,bonavista,66,CA,1567732434,84,48.65,-53.11,63.0,8.99
28,aksarka,0,RU,1567732434,95,66.56,67.8,47.47,8.84
29,talnakh,90,RU,1567732434,100,69.49,88.39,50.0,15.66
30,vagur,100,FO,1567732434,97,61.47,-6.81,50.17,10.33
31,ixtapa,75,MX,1567732435,70,20.71,-105.21,89.6,9.17
32,nikolskoye,0,RU,1567732435,87,59.7,30.79,57.2,6.71
33,xuddur,83,SO,1567732435,77,4.12,43.89,72.49,19.46
34,sainte-maxime,0,FR,1567732436,67,43.31,6.64,68.0,3.36
35,kruisfontein,2,ZA,1567732436,85,-34.0,24.73,46.93,8.75
